time,SP,PV,CO,PV_filtered,Filtered_PV_Kalman,Filtered_PV_Chebyshev,Filtered_PV_Wiener,Filtered_PV_Median
291,30,30.228,8.4774,30.170915049946828,15.189194029850748,29.60202452897081,30.170915049946828,30.228
292,30,30.941,6.3222,30.186,20.526497187592515,29.49455107596895,30.186,30.228
293,30,29.389,9.736,29.858,22.81852537932854,29.361857641416712,29.858,29.389
294,30,29.244,8.9146,29.737,24.17907101268357,29.21860783456102,29.737,29.389
295,30,30.578,5.574,29.849666666666668,25.340456626518275,29.08684708663616,29.849666666666668,29.727
296,30,29.727,8.3027,30.12933333333333,26.045460026267133,28.99075160867108,30.12933333333333,30.083
297,30,30.083,6.8027,29.836,26.634232208210385,28.94830447117407,29.836,29.727
298,30,29.698,7.9323,29.77733333333333,27.047279380138423,28.959856069339523,29.77733333333333,29.698
299,30,29.551,8.1186,29.373666666666665,27.363994392650024,28.99828735473229,29.373666666666665,29.551
300,40,28.872,29.603,29.334000000000003,27.54511165905064,29.01041339986141,29.334000000000003,29.551
301,40,29.579,17.534,29.473,27.77926420023114,28.93808191070692,29.473,29.579
302,40,29.968,14.527,29.771,28.02267418843431,28.757198882916583,29.771,29.766
303,40,29.766,14.653,29.825666666666663,28.21113933289717,28.5180335879298,29.825666666666663,29.766
304,40,29.743,15.016,29.616333333333333,28.37295122813253,28.36116583444265,29.616333333333333,29.743
305,40,29.34,15.982,29.292666666666666,28.47318219329788,28.48994629748149,29.292666666666666,29.34
306,40,28.795,17.088,29.318,28.50602330675665,29.10228746090031,29.318,29.34
307,40,29.819,14.777,30.08421412758549,28.63831735290452,30.309852102614627,30.08421412758549,29.819
308,40,33.331,11.388,33.31139620459765,29.10624629365667,32.08406791911322,33.31139620459765,33.331
309,40,36.482,8.4408,36.30074948691973,29.83546786269716,34.25601991941964,36.30074948691973,36.482
310,40,37.956,9.5472,37.74633333333333,30.63273288971649,36.56801768307647,37.74633333333333,37.956
311,40,38.801,10.517,39.12913466511326,31.4301079838493,38.7488037868045,39.12913466511326,38.801
312,40,40.855,8.0504,40.744805427851695,32.34585099377733,40.57896441602451,40.744805427851695,40.855
313,40,42.334,7.7019,42.47067628264641,33.31260346987474,41.92716663019223,42.47067628264641,42.334
314,40,44.635,5.3212,43.49366666666666,34.40505845045017,42.75614085822989,43.49366666666666,43.512
315,40,43.512,9.7508,44.395,35.281493758383505,43.10707801725835,44.395,44.635
316,40,45.038,5.8195,43.763,36.2184649444074,43.07188221783645,43.763,43.512
317,40,42.739,11.421,43.54,36.84358803890458,42.761215510320255,43.54,42.843
318,40,42.843,9.0662,42.79266666666666,37.41793877095839,42.27640317996984,42.79266666666666,42.796
319,40,42.796,8.6382,42.71666666666667,37.93220927391356,41.693061843160976,42.71666666666667,42.796
320,40,42.511,8.6348,42.062000000000005,38.36963578519171,41.06022986260253,42.062000000000005,42.511
321,40,40.879,11.36,41.27933333333333,38.60917741648552,40.41130413480767,41.27933333333333,40.879
322,40,40.448,10.22,40.898,38.78459825533593,39.77736426986579,40.898,40.879
323,40,41.367,7.8145,40.488751779024334,39.03082725960186,39.1938880996582,40.488751779024334,40.448
324,40,38.069,14.984,39.18622994252857,38.939157209187165,38.69759422478676,39.18622994252857,39.812
325,40,39.812,8.7474,38.835,39.02231729448679,38.31701356119945,38.835,38.624
326,40,38.624,11.992,39.16366666666667,38.984378457193145,38.06444132773855,39.16366666666667,39.055
327,40,39.055,10.168,38.854000000000006,38.99110342929089,37.93564334883484,38.854000000000006,38.883
328,40,38.883,10.757,39.38966666666667,38.98081119669608,37.91759098550717,39.38966666666667,39.055
329,40,40.231,8.2592,38.99766666666667,39.09981960063422,37.99805171876573,38.99766666666667,38.883
330,40,37.879,14.336,38.852,38.9836218389996,38.16940831305013,38.852,38.446
331,40,38.446,10.941,38.91366666666666,38.93245630432525,38.4241989485207,38.91366666666666,38.446
332,40,40.416,7.5766,39.619,39.07363318291793,38.74730155599615,39.619,39.995
333,40,39.995,10.056,40.648,39.16130604655865,39.11218838294885,40.648,40.416
334,40,41.533,7.2849,40.40133333333333,39.38697208725177,39.48366505464698,40.40133333333333,39.995
335,40,39.676,12.555,41.025,39.41447171586786,39.82297138106738,41.025,41.533
336,40,41.866,6.5503,40.331714150802085,39.64771392593249,40.09063700280768,40.331714150802085,39.676
337,40,39.39,13.18,40.81016963031126,39.62319539931625,40.24799380130145,40.81016963031126,41.866
338,40,42.001,6.4159,41.06428525607557,39.849410389368025,40.2626918186734,41.06428525607557,41.57
339,40,41.57,9.0632,41.344,40.01309705022751,40.12112262140224,41.344,41.57
340,40,40.461,11.089,41.16066666666666,40.05570713158274,39.84276431051089,41.16066666666666,41.451
341,40,41.451,8.0101,40.378234651125496,40.18844279701993,39.48567861387376,40.378234651125496,40.461
342,40,38.537,14.393,39.53098306785933,40.031341153419184,39.135222257157935,39.53098306785933,39.349
343,40,39.349,10.418,39.434333333333335,39.96643070446512,38.878240348695904,39.434333333333335,39.349
344,40,40.417,7.8276,40.181,40.00929258742118,38.77431721673495,40.181,40.417
345,40,40.777,8.6692,40.16566666666667,40.08232280717064,38.83655990150052,40.16566666666667,40.417
346,40,39.303,11.858,39.89866666666666,40.00818803045881,39.02757339815408,39.89866666666666,39.616
347,40,39.616,10.083,39.742333333333335,39.97088045130824,39.26947209934495,39.742333333333335,39.616
348,40,40.308,8.8712,40.23266666666667,40.00294943118971,39.46495745911493,40.23266666666667,40.308
349,40,40.774,8.4227,40.553,40.07629650982379,39.52633469604434,40.553,40.577
350,40,40.577,10.03,40.29933333333333,40.12392639721094,39.4059812400505,40.29933333333333,40.577
351,40,39.547,11.96,40.22,40.06904584041024,39.11716284709592,40.22,40.536
352,40,40.536,8.4072,39.59066666666666,40.11346513537359,38.73436814601845,39.59066666666666,39.547
353,40,38.689,12.979,39.25733333333333,39.97796220880251,38.36979309145647,39.25733333333333,38.689
354,40,38.547,11.881,39.084,39.84184138913187,38.1335165675082,39.084,38.689
355,40,40.016,8.1342,39.065333333333335,39.85840827829736,38.09318797096911,39.065333333333335,38.633
356,40,38.633,12.209,39.037,39.74184103756205,38.250099273171465,39.037,38.633
357,40,38.462,11.327,39.24166666666667,39.62009593899774,38.5416743244229,39.24166666666667,38.633
358,40,40.63,6.6341,39.93200000000001,39.71616319057792,38.86906908359658,39.93200000000001,40.63
359,40,40.704,8.9743,40.561,39.8101312554453,39.13743449450544,40.561,40.63
360,40,40.349,10.049,40.31166666666667,39.86139117662382,39.29006682188708,40.31166666666667,40.349
361,40,39.882,11.168,39.729,39.863351591653554,39.32077982117428,39.729,39.882
362,40,38.956,12.554,39.75233333333333,39.77703975887255,39.26182146502677,39.75233333333333,39.882
363,40,40.419,8.0683,40.02933333333333,39.83810622504708,39.15935532081334,40.02933333333333,40.419
364,40,40.713,9.042,40.25466666666667,39.92133048105262,39.05351005542894,40.25466666666667,40.419
365,40,39.632,11.855,40.24666666666667,39.89380792701537,38.97201977081114,40.24666666666667,40.395
366,40,40.395,8.7519,39.936,39.94148380456341,38.93385326026432,39.936,39.781
367,40,39.781,10.682,39.775,39.9262177897461,38.95299165107177,39.775,39.781
368,40,39.149,11.559,39.56633333333334,39.85228498660719,39.03611931324977,39.56633333333334,39.769
369,40,39.769,9.669,39.96966666666667,39.84436250686532,39.17621277487709,39.96966666666667,39.769
370,40,40.991,7.8885,40.469,39.95343633022934,39.34904108138592,40.469,40.647
371,40,40.647,9.464,40.73,40.0194115307478,39.51743968070163,40.73,40.647
372,40,40.552,9.6604,40.561,40.07007397396136,39.64174081988342,40.561,40.552
373,40,40.484,10.117,40.184333333333335,40.10944865911137,39.69064457256983,40.184333333333335,40.484
374,40,39.517,11.702,40.419,40.05309202169428,39.64836358743283,40.419,40.484
375,40,41.256,7.2319,40.315666666666665,40.16751855749406,39.51774383312819,40.315666666666665,40.174
376,40,40.174,11.046,40.795,40.16813510424299,39.32019194226569,40.795,40.955
377,40,40.955,8.51,40.21966666666666,40.24298556966115,39.091204675771294,40.21966666666666,40.174
378,40,39.53,11.865,39.681333333333335,40.17516287030397,38.86962188167748,39.681333333333335,39.53
379,40,38.559,12.64,38.919,40.0214254984054,38.68295072472263,38.919,38.668
380,40,38.668,11.021,39.061,39.89268100006883,38.53731351186672,39.061,38.668
381,40,39.956,8.266,39.86866666666666,39.898704215127104,38.42104630677891,39.86866666666666,39.956
382,40,40.982,7.6279,39.90233333333333,40.00175264396356,38.32170946105425,39.90233333333333,39.956
383,40,38.769,13.119,39.38229679909888,39.88448714319254,38.24383790029738,39.38229679909888,38.769
384,40,38.47,12.19,38.515,39.74993416246564,38.21193323742661,38.515,38.47
385,40,38.306,11.55,38.562666666666665,39.61258003659065,38.25495320591504,38.562666666666665,38.47
386,40,38.912,10.246,39.35261476065211,39.545937414743314,38.38459035224172,39.35261476065211,38.912
387,40,41.12,6.4863,40.02466666666667,39.69566999632285,38.58455549387195,40.02466666666667,40.042
388,40,40.042,10.995,40.04166666666666,39.728614611075415,38.817928188831225,40.04166666666666,40.042
389,40,38.963,12.394,39.64633333333333,39.65578558061721,39.04530038649904,39.64633333333333,39.934
390,40,39.934,9.0934,39.75633333333333,39.68225070564744,39.24095855818484,39.75633333333333,39.934
391,40,40.372,9.3466,40.436,39.74786305364577,39.39949331073154,40.436,40.372
392,40,41.002,8.7984,40.79333333333333,39.86716273309709,39.53259156987304,40.79333333333333,41.002
393,40,41.006,9.4992,40.691,39.97549453946365,39.65896076097545,40.691,41.002
394,40,40.065,11.429,40.289,39.984008739427,39.79106058733156,40.289,40.065
395,40,39.796,10.603,40.501666666666665,39.96612442273528,39.92413458921372,40.501666666666665,40.065
396,40,41.644,6.7062,41.04433333333333,40.125732206274456,40.03426511566143,41.04433333333333,41.644
397,40,41.693,8.6281,41.46633333333333,40.2748184329944,40.088284924837325,41.46633333333333,41.644
398,40,41.062,10.041,41.29566666666667,40.3496990181882,40.05997832484149,41.29566666666667,41.132
399,40,41.132,9.2693,40.65733333333333,40.42411533808616,39.94171782391549,40.65733333333333,41.062
400,40,39.778,11.862,39.91266666666667,40.36265366693565,39.744759704898605,39.91266666666667,39.778
401,40,38.828,12.451,39.78085536983449,40.216669856555576,39.491567969472776,39.78085536983449,39.778
402,40,41.965,4.9773,40.89002481305717,40.38297962508701,39.20961452396401,40.89002481305717,40.673
403,40,40.673,10.359,40.48721726560149,40.41056779062839,38.9317071691216,40.48721726560149,40.673
404,40,38.344,14.071,39.89566666666666,40.2139856907511,38.69780980788932,39.89566666666666,40.67
405,40,40.67,6.9112,39.16381280966931,40.257364016344496,38.54920613873125,39.16381280966931,38.344
406,40,38.202,13.847,39.34033333333333,40.06184767463604,38.5129635580462,39.34033333333333,39.149
407,40,39.149,9.8432,39.058,39.97501311080311,38.585690991102624,39.058,39.149
408,40,39.823,9.1576,39.807,39.96055287549775,38.72955207429139,39.807,39.823
409,40,40.449,8.8037,40.107,40.00701637010745,38.88649756545493,40.107,40.049
410,40,40.049,9.7501,40.185,40.01101005962536,39.00395128482505,40.185,40.057
411,40,40.057,10.03,40.169,40.01538484911526,39.056596257250405,40.169,40.057
412,40,40.401,9.7822,39.612,40.0520664602562,39.05145488551919,39.612,40.057
413,40,38.378,13.585,39.37566666666667,39.8928210188418,39.0153416633046,39.37566666666667,39.348
414,40,39.348,10.196,39.63583940611751,39.840994961933966,38.97586663914584,39.63583940611751,39.348
