Date,Time,PV,SP,CO,Mode,P,I,D
2016/7/21,0:00:01,133.5914,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:02,133.612,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:04,133.6382,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:06,133.646,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:07,133.6426,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:09,133.6434,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:10,133.6465,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:12,133.6397,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:13,133.6377,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:15,133.6382,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:18,133.6389,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:19,133.6304,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:21,133.6283,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:23,133.6261,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:24,133.6268,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:26,133.6256,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:27,133.6204,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:29,133.6223,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:30,133.6065,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:32,133.6045,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:34,133.5996,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:36,133.6099,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:37,133.6423,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:39,133.6505,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:40,133.652,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:42,133.6481,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:43,133.6366,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:45,133.6342,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:48,133.646,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:50,133.6514,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:51,133.6845,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:53,133.6947,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:54,133.6737,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:56,133.678,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:57,133.681,133.6958,100,AUTO,0,0,0
2016/7/21,0:00:59,133.6859,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:00,133.6787,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:02,133.6842,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:03,133.694,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:05,133.6931,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:06,133.6908,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:08,133.6896,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:10,133.6886,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:11,133.683,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:13,133.6742,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:15,133.6701,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:18,133.6807,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:20,133.6864,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:21,133.6856,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:23,133.6911,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:24,133.6939,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:26,133.7052,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:28,133.7076,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:30,133.7001,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:31,133.6827,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:33,133.6755,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:34,133.6651,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:36,133.6626,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:38,133.6687,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:39,133.6813,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:41,133.6901,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:42,133.6839,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:44,133.6883,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:46,133.6807,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:47,133.6729,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:49,133.6692,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:51,133.6701,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:52,133.6676,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:54,133.6663,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:56,133.667,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:57,133.6637,133.6958,100,AUTO,0,0,0
2016/7/21,0:01:59,133.6679,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:00,133.6624,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:02,133.6647,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:04,133.6595,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:06,133.6628,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:07,133.6686,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:09,133.6762,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:10,133.6793,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:12,133.6795,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:13,133.6768,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:15,133.6749,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:19,133.6754,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:20,133.6823,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:22,133.6817,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:23,133.6853,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:25,133.6707,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:26,133.6727,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:28,133.6831,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:30,133.666,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:32,133.663,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:34,133.6791,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:35,133.6956,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:36,133.6937,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:38,133.699,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:40,133.6948,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:41,133.6954,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:43,133.6902,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:45,133.6954,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:48,133.6941,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:50,133.7099,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:51,133.6936,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:53,133.6917,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:55,133.6948,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:57,133.7077,133.6958,100,AUTO,0,0,0
2016/7/21,0:02:58,133.7146,133.6958,100,AUTO,0,0,0
2016/7/21,0:03:00,133.722,133.6958,100,AUTO,0,0,0
