Date,Time,PV,SP,CO,Mode,P,I,D
2016/7/21,0:00:01,138.7715,138.788,100,AUTO,0,0,0
2016/7/21,0:00:02,138.797,138.788,100,AUTO,0,0,0
2016/7/21,0:00:04,138.8208,138.788,100,AUTO,0,0,0
2016/7/21,0:00:06,138.8305,138.788,100,AUTO,0,0,0
2016/7/21,0:00:07,138.8373,138.788,100,AUTO,0,0,0
2016/7/21,0:00:09,138.841,138.788,100,AUTO,0,0,0
2016/7/21,0:00:10,138.8504,138.788,100,AUTO,0,0,0
2016/7/21,0:00:12,138.8532,138.788,100,AUTO,0,0,0
2016/7/21,0:00:13,138.8522,138.788,100,AUTO,0,0,0
2016/7/21,0:00:15,138.8562,138.788,100,AUTO,0,0,0
2016/7/21,0:00:18,138.8711,138.788,100,AUTO,0,0,0
2016/7/21,0:00:19,138.8812,138.788,100,AUTO,0,0,0
2016/7/21,0:00:21,138.9,138.788,100,AUTO,0,0,0
2016/7/21,0:00:23,138.9066,138.788,100,AUTO,0,0,0
2016/7/21,0:00:24,138.9077,138.788,100,AUTO,0,0,0
2016/7/21,0:00:26,138.907,138.788,100,AUTO,0,0,0
2016/7/21,0:00:27,138.9097,138.788,100,AUTO,0,0,0
2016/7/21,0:00:29,138.9075,138.788,100,AUTO,0,0,0
2016/7/21,0:00:30,138.919,138.788,100,AUTO,0,0,0
2016/7/21,0:00:32,138.9387,138.788,100,AUTO,0,0,0
2016/7/21,0:00:34,138.9442,138.788,100,AUTO,0,0,0
2016/7/21,0:00:36,138.9478,138.788,100,AUTO,0,0,0
2016/7/21,0:00:37,138.9606,138.788,100,AUTO,0,0,0
2016/7/21,0:00:39,138.9682,138.788,100,AUTO,0,0,0
2016/7/21,0:00:40,138.9635,138.788,100,AUTO,0,0,0
2016/7/21,0:00:42,138.9537,138.788,100,AUTO,0,0,0
2016/7/21,0:00:43,138.9312,138.788,100,AUTO,0,0,0
2016/7/21,0:00:45,138.9257,138.788,100,AUTO,0,0,0
2016/7/21,0:00:48,138.9269,138.788,100,AUTO,0,0,0
2016/7/21,0:00:50,138.927,138.788,100,AUTO,0,0,0
2016/7/21,0:00:51,138.9474,138.788,100,AUTO,0,0,0
2016/7/21,0:00:53,138.9616,138.788,100,AUTO,0,0,0
2016/7/21,0:00:54,138.9766,138.788,100,AUTO,0,0,0
2016/7/21,0:00:56,138.9823,138.788,100,AUTO,0,0,0
2016/7/21,0:00:57,138.9982,138.788,100,AUTO,0,0,0
2016/7/21,0:00:59,138.9994,138.788,100,AUTO,0,0,0
2016/7/21,0:01:00,138.9975,138.788,100,AUTO,0,0,0
2016/7/21,0:01:02,138.9896,138.788,100,AUTO,0,0,0
2016/7/21,0:01:03,138.9832,138.788,100,AUTO,0,0,0
2016/7/21,0:01:05,138.9856,138.788,100,AUTO,0,0,0
2016/7/21,0:01:06,138.9826,138.788,100,AUTO,0,0,0
2016/7/21,0:01:08,138.9886,138.788,100,AUTO,0,0,0
2016/7/21,0:01:10,138.9866,138.788,100,AUTO,0,0,0
2016/7/21,0:01:11,138.9886,138.788,100,AUTO,0,0,0
2016/7/21,0:01:13,138.9911,138.788,100,AUTO,0,0,0
2016/7/21,0:01:15,138.9931,138.788,100,AUTO,0,0,0
2016/7/21,0:01:18,138.9853,138.788,100,AUTO,0,0,0
2016/7/21,0:01:20,138.9854,138.788,100,AUTO,0,0,0
2016/7/21,0:01:21,138.9857,138.788,100,AUTO,0,0,0
2016/7/21,0:01:23,138.9844,138.788,100,AUTO,0,0,0
2016/7/21,0:01:24,138.9785,138.788,100,AUTO,0,0,0
2016/7/21,0:01:26,138.9795,138.788,100,AUTO,0,0,0
2016/7/21,0:01:28,138.9837,138.788,100,AUTO,0,0,0
2016/7/21,0:01:30,138.9853,138.788,100,AUTO,0,0,0
2016/7/21,0:01:31,138.9808,138.788,100,AUTO,0,0,0
2016/7/21,0:01:33,138.9809,138.788,100,AUTO,0,0,0
2016/7/21,0:01:34,138.9682,138.788,100,AUTO,0,0,0
2016/7/21,0:01:36,138.9584,138.788,100,AUTO,0,0,0
2016/7/21,0:01:38,138.9459,138.788,100,AUTO,0,0,0
2016/7/21,0:01:39,138.9446,138.788,100,AUTO,0,0,0
2016/7/21,0:01:41,138.9568,138.788,100,AUTO,0,0,0
2016/7/21,0:01:42,138.955,138.788,100,AUTO,0,0,0
2016/7/21,0:01:44,138.9367,138.788,100,AUTO,0,0,0
2016/7/21,0:01:46,138.9361,138.788,100,AUTO,0,0,0
2016/7/21,0:01:47,138.9321,138.788,100,AUTO,0,0,0
2016/7/21,0:01:49,138.9259,138.788,100,AUTO,0,0,0
2016/7/21,0:01:51,138.9278,138.788,100,AUTO,0,0,0
2016/7/21,0:01:52,138.915,138.788,100,AUTO,0,0,0
2016/7/21,0:01:54,138.912,138.788,100,AUTO,0,0,0
2016/7/21,0:01:56,138.9189,138.788,100,AUTO,0,0,0
2016/7/21,0:01:57,138.9337,138.788,100,AUTO,0,0,0
2016/7/21,0:01:59,138.9411,138.788,100,AUTO,0,0,0
2016/7/21,0:02:00,138.9468,138.788,100,AUTO,0,0,0
2016/7/21,0:02:02,138.948,138.788,100,AUTO,0,0,0
2016/7/21,0:02:04,138.9471,138.788,100,AUTO,0,0,0
2016/7/21,0:02:06,138.9447,138.788,100,AUTO,0,0,0
2016/7/21,0:02:07,138.9608,138.788,100,AUTO,0,0,0
2016/7/21,0:02:09,138.9711,138.788,100,AUTO,0,0,0
2016/7/21,0:02:10,138.9773,138.788,100,AUTO,0,0,0
2016/7/21,0:02:12,138.9835,138.788,100,AUTO,0,0,0
2016/7/21,0:02:13,138.9853,138.788,100,AUTO,0,0,0
2016/7/21,0:02:15,138.9915,138.788,100,AUTO,0,0,0
2016/7/21,0:02:19,139.0216,138.788,100,AUTO,0,0,0
2016/7/21,0:02:20,139.0262,138.788,100,AUTO,0,0,0
2016/7/21,0:02:22,139.0333,138.788,100,AUTO,0,0,0
