Date,Time,PV,SP,CO,Mode,P,I,D,Filtered_PV_Kalman
2016/7/21,0:00:01,25.35876,25.33048,53.89037,CAS,0.8,0.8,0,12.742461492537315
2016/7/21,0:00:02,25.36003,25.32891,53.88593,CAS,0.8,0.8,0,17.01776734416631
2016/7/21,0:00:04,25.36098,25.32843,53.88311,CAS,0.8,0.8,0,19.175496263591604
2016/7/21,0:00:05,25.36229,25.32623,53.87897,CAS,0.8,0.8,0,20.485503025653806
2016/7/21,0:00:07,25.36309,25.32489,53.87315,CAS,0.8,0.8,0,21.37076981849704
2016/7/21,0:00:09,25.36459,25.32257,53.86478,CAS,0.8,0.8,0,22.012654912570625
2016/7/21,0:00:10,25.36588,25.32269,53.859,CAS,0.8,0.8,0,22.50163722955493
2016/7/21,0:00:11,25.36636,25.32199,53.85759,CAS,0.8,0.8,0,22.887849801493687
2016/7/21,0:00:13,25.36656,25.32227,53.85297,CAS,0.8,0.8,0,23.201401052102455
2016/7/21,0:00:14,25.36621,25.32278,53.85418,CAS,0.8,0.8,0,23.46140292279297
2016/7/21,0:00:18,25.36403,25.3297,53.86083,CAS,0.8,0.8,0,23.68044393703022
2016/7/21,0:00:19,25.36207,25.3345,53.8719,CAS,0.8,0.8,0,23.867458093874934
2016/7/21,0:00:21,25.36009,25.33552,53.88126,CAS,0.8,0.8,0,24.02882155557065
2016/7/21,0:00:22,25.35927,25.33582,53.88072,CAS,0.8,0.8,0,24.169358086685595
2016/7/21,0:00:24,25.35842,25.33667,53.88207,CAS,0.8,0.8,0,24.292599878289035
2016/7/21,0:00:25,25.35668,25.33649,53.88538,CAS,0.8,0.8,0,24.401187952903186
2016/7/21,0:00:27,25.35571,25.33694,53.88613,CAS,0.8,0.8,0,24.49736451445041
2016/7/21,0:00:28,25.35345,25.3392,53.89031,CAS,0.8,0.8,0,24.58272873030985
2016/7/21,0:00:30,25.35045,25.34308,53.9007,CAS,0.8,0.8,0,24.658631333780427
2016/7/21,0:00:32,25.34888,25.34593,53.90623,CAS,0.8,0.8,0,24.726399198277345
2016/7/21,0:00:34,25.34388,25.34868,53.92092,CAS,0.8,0.8,0,24.786676831923646
2016/7/21,0:00:35,25.34258,25.35324,53.92551,CAS,0.8,0.8,0,24.840689592970715
2016/7/21,0:00:37,25.33986,25.36047,53.94347,CAS,0.8,0.8,0,24.8890042733674
2016/7/21,0:00:39,25.33855,25.36191,53.95197,CAS,0.8,0.8,0,24.932379230846546
2016/7/21,0:00:40,25.33671,25.35999,53.95862,CAS,0.8,0.8,0,24.971291280544225
2016/7/21,0:00:42,25.33591,25.35853,53.95705,CAS,0.8,0.8,0,25.00630763020408
2016/7/21,0:00:43,25.33438,25.36039,53.95851,CAS,0.8,0.8,0,25.037759898043657
2016/7/21,0:00:45,25.33392,25.36211,53.96253,CAS,0.8,0.8,0,25.06611263869004
2016/7/21,0:00:48,25.33338,25.36094,53.96659,CAS,0.8,0.8,0,25.091669752019683
2016/7/21,0:00:49,25.33409,25.35716,53.96371,CAS,0.8,0.8,0,25.114828933052586
2016/7/21,0:00:51,25.33528,25.35855,53.96134,CAS,0.8,0.8,0,25.135872991896424
2016/7/21,0:00:53,25.33601,25.36105,53.96082,CAS,0.8,0.8,0,25.154965753841648
2016/7/21,0:00:54,25.33816,25.36283,53.96361,CAS,0.8,0.8,0,25.17243311224629
2016/7/21,0:00:55,25.33926,25.3647,53.96406,CAS,0.8,0.8,0,25.18833308706842
2016/7/21,0:00:57,25.34044,25.3683,53.96915,CAS,0.8,0.8,0,25.202825071177347
2016/7/21,0:00:58,25.34094,25.36817,53.97186,CAS,0.8,0.8,0,25.215980211275337
2016/7/21,0:01:00,25.34234,25.36829,53.97174,CAS,0.8,0.8,0,25.228012886004272
2016/7/21,0:01:01,25.34313,25.36767,53.97009,CAS,0.8,0.8,0,25.238972872386384
2016/7/21,0:01:03,25.3439,25.36771,53.96838,CAS,0.8,0.8,0,25.248961131722982
2016/7/21,0:01:05,25.34542,25.36662,53.96528,CAS,0.8,0.8,0,25.258142098819
2016/7/21,0:01:06,25.34654,25.36478,53.96318,CAS,0.8,0.8,0,25.266554937639746
2016/7/21,0:01:08,25.34753,25.3658,53.9618,CAS,0.8,0.8,0,25.27426068070697
2016/7/21,0:01:10,25.34819,25.36624,53.96158,CAS,0.8,0.8,0,25.281295441465943
2016/7/21,0:01:11,25.34958,25.36766,53.96373,CAS,0.8,0.8,0,25.287792698813377
2016/7/21,0:01:13,25.35043,25.36752,53.96216,CAS,0.8,0.8,0,25.293752339540696
2016/7/21,0:01:14,25.35204,25.36351,53.95861,CAS,0.8,0.8,0,25.29929791812244
2016/7/21,0:01:18,25.35538,25.35777,53.94169,CAS,0.8,0.8,0,25.304633485504894
2016/7/21,0:01:20,25.3583,25.35989,53.93826,CAS,0.8,0.8,0,25.309739106899997
2016/7/21,0:01:21,25.36172,25.35821,53.9325,CAS,0.8,0.8,0,25.314684259868176
2016/7/21,0:01:23,25.36353,25.35833,53.92715,CAS,0.8,0.8,0,25.319331072223243
2016/7/21,0:01:24,25.36614,25.35722,53.92332,CAS,0.8,0.8,0,25.323784054330073
2016/7/21,0:01:26,25.36833,25.35603,53.91678,CAS,0.8,0.8,0,25.328021707183154
2016/7/21,0:01:27,25.36903,25.35434,53.91379,CAS,0.8,0.8,0,25.331922786114482
2016/7/21,0:01:29,25.37035,25.35384,53.90872,CAS,0.8,0.8,0,25.335578300949184
2016/7/21,0:01:31,25.37068,25.35283,53.90657,CAS,0.8,0.8,0,25.338917443900336
2016/7/21,0:01:32,25.37127,25.35494,53.90396,CAS,0.8,0.8,0,25.341995051151706
2016/7/21,0:01:34,25.37118,25.35564,53.90636,CAS,0.8,0.8,0,25.344771320962614
2016/7/21,0:01:35,25.37031,25.35747,53.90878,CAS,0.8,0.8,0,25.34720072438175
2016/7/21,0:01:37,25.36906,25.35682,53.91444,CAS,0.8,0.8,0,25.3492801132993
2016/7/21,0:01:39,25.36831,25.35592,53.91256,CAS,0.8,0.8,0,25.35109034905425
2016/7/21,0:01:41,25.36682,25.35693,53.91318,CAS,0.8,0.8,0,25.352586643913277
2016/7/21,0:01:42,25.36558,25.35828,53.91826,CAS,0.8,0.8,0,25.353822644717056
2016/7/21,0:01:44,25.36535,25.3557,53.91861,CAS,0.8,0.8,0,25.354919189895785
2016/7/21,0:01:45,25.36491,25.35516,53.91276,CAS,0.8,0.8,0,25.35586956947408
2016/7/21,0:01:47,25.36474,25.35692,53.91513,CAS,0.8,0.8,0,25.356713371791063
2016/7/21,0:01:49,25.36478,25.3574,53.9163,CAS,0.8,0.8,0,25.357480711631187
2016/7/21,0:01:50,25.36506,25.35296,53.91323,CAS,0.8,0.8,0,25.35820169273933
2016/7/21,0:01:52,25.36478,25.34642,53.905,CAS,0.8,0.8,0,25.358827455049816
2016/7/21,0:01:54,25.3645,25.34239,53.89858,CAS,0.8,0.8,0,25.359367056395662
2016/7/21,0:01:55,25.36364,25.34035,53.8919,CAS,0.8,0.8,0,25.3597735204086
2016/7/21,0:01:57,25.36229,25.33921,53.88985,CAS,0.8,0.8,0,25.36001290061595
2016/7/21,0:01:59,25.36152,25.33935,53.88935,CAS,0.8,0.8,0,25.360156263465825
2016/7/21,0:02:00,25.36003,25.33755,53.89091,CAS,0.8,0.8,0,25.360144252653985
2016/7/21,0:02:02,25.35831,25.33747,53.88839,CAS,0.8,0.8,0,25.359969769400333
2016/7/21,0:02:03,25.35708,25.33661,53.89135,CAS,0.8,0.8,0,25.35969488016576
2016/7/21,0:02:05,25.35429,25.33234,53.89076,CAS,0.8,0.8,0,25.35918074113836
2016/7/21,0:02:07,25.35261,25.32914,53.88898,CAS,0.8,0.8,0,25.358555699677936
2016/7/21,0:02:08,25.3494,25.32774,53.88533,CAS,0.8,0.8,0,25.357684764206798
2016/7/21,0:02:10,25.34643,25.32605,53.88821,CAS,0.8,0.8,0,25.356614155384484
2016/7/21,0:02:11,25.34477,25.32567,53.88919,CAS,0.8,0.8,0,25.3554874808077
2016/7/21,0:02:13,25.34198,25.32567,53.89212,CAS,0.8,0.8,0,25.354202582544385
2016/7/21,0:02:15,25.34077,25.32737,53.89389,CAS,0.8,0.8,0,25.35292480901068
2016/7/21,0:02:18,25.33569,25.3355,53.91387,CAS,0.8,0.8,0,25.35128534897259
2016/7/21,0:02:20,25.33289,25.33707,53.92048,CAS,0.8,0.8,0,25.34953549268333
2016/7/21,0:02:22,25.33178,25.3389,53.92602,CAS,0.8,0.8,0,25.347846502705863
2016/7/21,0:02:23,25.33004,25.33908,53.9324,CAS,0.8,0.8,0,25.346152660425695
2016/7/21,0:02:25,25.32925,25.33352,53.93001,CAS,0.8,0.8,0,25.344544796094105
2016/7/21,0:02:26,25.32874,25.33299,53.92607,CAS,0.8,0.8,0,25.34304136603955
2016/7/21,0:02:28,25.32827,25.33258,53.92607,CAS,0.8,0.8,0,25.341636240952223
2016/7/21,0:02:30,25.32751,25.33595,53.92978,CAS,0.8,0.8,0,25.340292483348335
2016/7/21,0:02:32,25.32752,25.3385,53.93256,CAS,0.8,0.8,0,25.33907750184012
2016/7/21,0:02:33,25.32749,25.34295,53.94002,CAS,0.8,0.8,0,25.337975241612178
2016/7/21,0:02:35,25.32738,25.34758,53.94487,CAS,0.8,0.8,0,25.336967370065906
2016/7/21,0:02:36,25.32724,25.3492,53.95688,CAS,0.8,0.8,0,25.33604205473639
2016/7/21,0:02:38,25.32687,25.34812,53.95661,CAS,0.8,0.8,0,25.33516956373677
2016/7/21,0:02:39,25.32652,25.34857,53.95692,CAS,0.8,0.8,0,25.334346774654655
2016/7/21,0:02:41,25.32547,25.34661,53.95797,CAS,0.8,0.8,0,25.333502372152754
2016/7/21,0:02:42,25.32486,25.34746,53.95864,CAS,0.8,0.8,0,25.332680267171675
2016/7/21,0:02:44,25.32362,25.34236,53.95774,CAS,0.8,0.8,0,25.33181840996015
2016/7/21,0:02:48,25.32276,25.34053,53.95486,CAS,0.8,0.8,0,25.330956729416407
2016/7/21,0:02:50,25.32269,25.33768,53.95322,CAS,0.8,0.8,0,25.3301703574234
2016/7/21,0:02:51,25.32321,25.33747,53.94913,CAS,0.8,0.8,0,25.329508253965006
2016/7/21,0:02:53,25.32384,25.33789,53.94955,CAS,0.8,0.8,0,25.328969061747806
2016/7/21,0:02:55,25.32528,25.33827,53.9492,CAS,0.8,0.8,0,25.32861814003633
2016/7/21,0:02:56,25.32659,25.33646,53.94635,CAS,0.8,0.8,0,25.32842521337337
2016/7/21,0:02:58,25.32777,25.33101,53.93842,CAS,0.8,0.8,0,25.328362886252286
2016/7/21,0:02:59,25.32836,25.32898,53.93346,CAS,0.8,0.8,0,25.328362611697763
2016/7/21,0:03:01,25.33063,25.33059,53.92682,CAS,0.8,0.8,0,25.32857829683325
2016/7/21,0:03:03,25.33357,25.33076,53.9241,CAS,0.8,0.8,0,25.32905313220778
2016/7/21,0:03:05,25.3354,25.33268,53.92156,CAS,0.8,0.8,0,25.329656877511578
2016/7/21,0:03:06,25.33876,25.33046,53.91835,CAS,0.8,0.8,0,25.33052281132834
2016/7/21,0:03:08,25.34024,25.33008,53.91288,CAS,0.8,0.8,0,25.331447158142826
2016/7/21,0:03:09,25.34313,25.32965,53.90704,CAS,0.8,0.8,0,25.3325584875632
2016/7/21,0:03:11,25.3446,25.32854,53.90374,CAS,0.8,0.8,0,25.333703935494434
2016/7/21,0:03:12,25.34718,25.32833,53.89842,CAS,0.8,0.8,0,25.334985845079252
2016/7/21,0:03:14,25.34877,25.32724,53.89371,CAS,0.8,0.8,0,25.336297061740737
2016/7/21,0:03:18,25.35292,25.32627,53.87983,CAS,0.8,0.8,0,25.337878317445792
2016/7/21,0:03:19,25.35474,25.32653,53.87643,CAS,0.8,0.8,0,25.339482283683243
2016/7/21,0:03:21,25.3557,25.3266,53.87558,CAS,0.8,0.8,0,25.34102499268257
2016/7/21,0:03:23,25.35744,25.32344,53.86779,CAS,0.8,0.8,0,25.34258646897292
2016/7/21,0:03:24,25.35814,25.3234,53.86309,CAS,0.8,0.8,0,25.34406599739835
2016/7/21,0:03:26,25.35801,25.32178,53.86101,CAS,0.8,0.8,0,25.345392419557875
2016/7/21,0:03:27,25.35763,25.32023,53.8596,CAS,0.8,0.8,0,25.346556518442608
2016/7/21,0:03:29,25.35696,25.31642,53.8526,CAS,0.8,0.8,0,25.347546148814025
2016/7/21,0:03:30,25.35643,25.31487,53.85034,CAS,0.8,0.8,0,25.348391224464926
2016/7/21,0:03:32,25.35589,25.31223,53.84782,CAS,0.8,0.8,0,25.349104544902602
2016/7/21,0:03:33,25.3553,25.31202,53.84149,CAS,0.8,0.8,0,25.349693887085337
2016/7/21,0:03:35,25.35518,25.31003,53.8415,CAS,0.8,0.8,0,25.350215753148284
2016/7/21,0:03:36,25.3549,25.30222,53.83157,CAS,0.8,0.8,0,25.350661341764557
2016/7/21,0:03:38,25.35551,25.2977,53.81747,CAS,0.8,0.8,0,25.35112257000088
2016/7/21,0:03:40,25.35568,25.29456,53.81201,CAS,0.8,0.8,0,25.351556095173944
2016/7/21,0:03:41,25.35657,25.29112,53.80016,CAS,0.8,0.8,0,25.352033042479302
2016/7/21,0:03:43,25.35697,25.29148,53.79519,CAS,0.8,0.8,0,25.352502670178243
2016/7/21,0:03:45,25.35751,25.28809,53.79071,CAS,0.8,0.8,0,25.35297899203683
2016/7/21,0:03:47,25.35713,25.28251,53.78023,CAS,0.8,0.8,0,25.353373856345435
2016/7/21,0:03:48,25.35577,25.27904,53.76935,CAS,0.8,0.8,0,25.353601789323612
2016/7/21,0:03:50,25.35504,25.27753,53.76784,CAS,0.8,0.8,0,25.353738599001982
2016/7/21,0:03:51,25.35347,25.27446,53.76056,CAS,0.8,0.8,0,25.353713048542875
2016/7/21,0:03:53,25.35176,25.27547,53.75858,CAS,0.8,0.8,0,25.353527264952625
2016/7/21,0:03:55,25.35071,25.27724,53.76046,CAS,0.8,0.8,0,25.35325927284383
2016/7/21,0:03:56,25.34861,25.28069,53.76749,CAS,0.8,0.8,0,25.352817011127332
2016/7/21,0:03:58,25.3478,25.28289,53.76885,CAS,0.8,0.8,0,25.35233976833531
2016/7/21,0:03:59,25.3452,25.28534,53.77616,CAS,0.8,0.8,0,25.35166059842951
2016/7/21,0:04:01,25.34332,25.28544,53.77939,CAS,0.8,0.8,0,25.3508671996547
2016/7/21,0:04:02,25.33952,25.28382,53.78342,CAS,0.8,0.8,0,25.34978779817294
2016/7/21,0:04:03,25.33746,25.28167,53.7827,CAS,0.8,0.8,0,25.348615117333647
2016/7/21,0:04:05,25.33353,25.27978,53.78105,CAS,0.8,0.8,0,25.347180146724337
2016/7/21,0:04:06,25.33137,25.28111,53.78246,CAS,0.8,0.8,0,25.34567620775081
2016/7/21,0:04:08,25.3278,25.2798,53.78691,CAS,0.8,0.8,0,25.343975734883347
2016/7/21,0:04:09,25.32625,25.2801,53.78752,CAS,0.8,0.8,0,25.342289575735663
2016/7/21,0:04:11,25.32241,25.28175,53.79498,CAS,0.8,0.8,0,25.34039853264496
2016/7/21,0:04:13,25.32018,25.28347,53.79761,CAS,0.8,0.8,0,25.33847524630471
2016/7/21,0:04:14,25.31581,25.28622,53.80889,CAS,0.8,0.8,0,25.336319216518486
2016/7/21,0:04:18,25.30804,25.28852,53.82439,CAS,0.8,0.8,0,25.33362915825372
2016/7/21,0:04:20,25.30484,25.28702,53.8273,CAS,0.8,0.8,0,25.33089059182118
2016/7/21,0:04:21,25.30323,25.28712,53.8285,CAS,0.8,0.8,0,25.328259380182477
