Date,Time,PV,SP,CO,Mode,P,I,D
2016/7/21,0:00:01,6.058952,6,44.51558,AUTO,0.8,0.8,0
2016/7/21,0:00:02,6.060653,6,44.50365,AUTO,0.8,0.8,0
2016/7/21,0:00:04,6.058952,6,44.50678,AUTO,0.8,0.8,0
2016/7/21,0:00:06,6.062352,6,44.48936,AUTO,0.8,0.8,0
2016/7/21,0:00:07,6.038553,6,44.59178,AUTO,0.8,0.8,0
2016/7/21,0:00:09,6.014751,6,44.69702,AUTO,0.8,0.8,0
2016/7/21,0:00:10,5.977351,6,44.8641,AUTO,0.8,0.8,0
2016/7/21,0:00:12,5.968851,6,44.90303,AUTO,0.8,0.8,0
2016/7/21,0:00:13,5.951849,6,44.98191,AUTO,0.8,0.8,0
2016/7/21,0:00:15,5.94675,6,45.00655,AUTO,0.8,0.8,0
2016/7/21,0:00:18,5.951849,6,44.99096,AUTO,0.8,0.8,0
2016/7/21,0:00:19,5.96035,6,44.95464,AUTO,0.8,0.8,0
2016/7/21,0:00:21,5.977351,6,44.88108,AUTO,0.8,0.8,0
2016/7/21,0:00:24,5.96545,6,44.93718,AUTO,0.8,0.8,0
2016/7/21,0:00:26,5.96035,6,44.96132,AUTO,0.8,0.8,0
2016/7/21,0:00:27,5.945049,6,45.03314,AUTO,0.8,0.8,0
2016/7/21,0:00:29,5.95355,6,44.99708,AUTO,0.8,0.8,0
2016/7/21,0:00:32,5.939949,6,45.06498,AUTO,0.8,0.8,0
2016/7/21,0:00:34,5.95695,6,44.99298,AUTO,0.8,0.8,0
2016/7/21,0:00:36,5.96715,6,44.94887,AUTO,0.8,0.8,0
2016/7/21,0:00:39,5.96375,6,44.96769,AUTO,0.8,0.8,0
2016/7/21,0:00:40,5.968851,6,44.94746,AUTO,0.8,0.8,0
2016/7/21,0:00:42,5.962051,6,44.97909,AUTO,0.8,0.8,0
2016/7/21,0:00:43,5.955249,6,45.01288,AUTO,0.8,0.8,0
2016/7/21,0:00:45,5.96545,6,44.96882,AUTO,0.8,0.8,0
2016/7/21,0:00:48,5.97565,6,44.92609,AUTO,0.8,0.8,0
2016/7/21,0:00:50,5.977351,6,44.91937,AUTO,0.8,0.8,0
2016/7/21,0:00:51,5.96715,6,44.96683,AUTO,0.8,0.8,0
2016/7/21,0:00:53,5.97055,6,44.9528,AUTO,0.8,0.8,0
2016/7/21,0:00:54,5.97225,6,44.94756,AUTO,0.8,0.8,0
2016/7/21,0:00:56,5.97565,6,44.93335,AUTO,0.8,0.8,0
2016/7/21,0:00:57,5.97905,6,44.91998,AUTO,0.8,0.8,0
2016/7/21,0:00:59,5.97225,6,44.95123,AUTO,0.8,0.8,0
2016/7/21,0:01:00,5.95695,6,45.02198,AUTO,0.8,0.8,0
2016/7/21,0:01:02,5.95015,6,45.05405,AUTO,0.8,0.8,0
2016/7/21,0:01:03,5.943349,6,45.08815,AUTO,0.8,0.8,0
2016/7/21,0:01:05,5.95015,6,45.06194,AUTO,0.8,0.8,0
2016/7/21,0:01:06,5.951849,6,45.05617,AUTO,0.8,0.8,0
2016/7/21,0:01:08,5.95015,6,45.06748,AUTO,0.8,0.8,0
2016/7/21,0:01:10,5.95865,6,45.03123,AUTO,0.8,0.8,0
2016/7/21,0:01:11,5.992651,6,44.88135,AUTO,0.8,0.8,0
2016/7/21,0:01:13,6.019851,6,44.75943,AUTO,0.8,0.8,0
2016/7/21,0:01:15,6.028351,6,44.7206,AUTO,0.8,0.8,0
2016/7/21,0:01:18,5.984151,6,44.91744,AUTO,0.8,0.8,0
2016/7/21,0:01:21,5.96545,6,45.00357,AUTO,0.8,0.8,0
2016/7/21,0:01:23,5.962051,6,45.00357,AUTO,0.8,0.8,0
2016/7/21,0:01:26,5.96545,6,45.01048,AUTO,0.8,0.8,0
2016/7/21,0:01:30,5.96035,6,45.03711,AUTO,0.8,0.8,0
2016/7/21,0:01:31,5.936549,6,45.14715,AUTO,0.8,0.8,0
2016/7/21,0:01:33,5.94165,6,45.12664,AUTO,0.8,0.8,0
2016/7/21,0:01:34,5.96035,6,45.04684,AUTO,0.8,0.8,0
2016/7/21,0:01:36,5.96375,6,45.03307,AUTO,0.8,0.8,0
2016/7/21,0:01:38,5.98585,6,44.93603,AUTO,0.8,0.8,0
2016/7/21,0:01:39,5.968851,6,45.01345,AUTO,0.8,0.8,0
2016/7/21,0:01:42,5.990951,6,44.91806,AUTO,0.8,0.8,0
2016/7/21,0:01:44,6.00115,6,44.87258,AUTO,0.8,0.8,0
2016/7/21,0:01:46,5.990951,6,44.91825,AUTO,0.8,0.8,0
2016/7/21,0:01:47,5.984151,6,44.94971,AUTO,0.8,0.8,0
2016/7/21,0:01:49,5.996051,6,44.89742,AUTO,0.8,0.8,0
2016/7/21,0:01:52,5.992651,6,44.91285,AUTO,0.8,0.8,0
2016/7/21,0:01:54,5.98585,6,44.9365,AUTO,0.8,0.8,0
