Date,Time,PV,SP,CO,Mode,P,I,D,Filtered_PV_Kalman
2016-07-21,00:00:01,44.6072,44.8038,88.76993,AUTO,0.8,0.8,0,22.414563184079604
2016-07-21,00:00:02,44.64452,44.8038,88.74097,AUTO,0.8,0.8,0,29.946907026742544
2016-07-21,00:00:04,44.62587,44.8038,88.7568,AUTO,0.8,0.8,0,33.74319320823216
2016-07-21,00:00:05,44.65386,44.8038,88.73481,AUTO,0.8,0.8,0,36.05344434715583
2016-07-21,00:00:07,44.66319,44.8038,88.72807,AUTO,0.8,0.8,0,37.61608627673639
2016-07-21,00:00:09,44.64452,44.8038,88.74342,AUTO,0.8,0.8,0,38.7456931785547
2016-07-21,00:00:10,44.67251,44.8038,88.72179,AUTO,0.8,0.8,0,39.60996818131439
2016-07-21,00:00:11,44.66319,44.8038,88.72962,AUTO,0.8,0.8,0,40.29122705051673
2016-07-21,00:00:14,44.68184,44.8038,88.71579,AUTO,0.8,0.8,0,40.846629687775064
2016-07-21,00:00:18,44.67251,44.8038,88.72424,AUTO,0.8,0.8,0,41.30613261027665
2016-07-21,00:00:19,44.69117,44.8038,88.70993,AUTO,0.8,0.8,0,41.69583694695856
2016-07-21,00:00:24,44.68184,44.8038,88.71889,AUTO,0.8,0.8,0,42.02791127406199
2016-07-21,00:00:25,44.66319,44.8038,88.7342,AUTO,0.8,0.8,0,42.31280247597551
2016-07-21,00:00:27,44.68184,44.8038,88.71992,AUTO,0.8,0.8,0,42.56304615666946
2016-07-21,00:00:28,44.66319,44.8038,88.73522,AUTO,0.8,0.8,0,42.78071816094343
2016-07-21,00:00:30,44.63519,44.8038,88.75849,AUTO,0.8,0.8,0,42.969964743339425
2016-07-21,00:00:32,44.66319,44.8038,88.7369,AUTO,0.8,0.8,0,43.14057220453515
2016-07-21,00:00:34,44.67251,44.8038,88.73016,AUTO,0.8,0.8,0,43.29332875848063
2016-07-21,00:00:37,44.65386,44.8038,88.74621,AUTO,0.8,0.8,0,43.4278409407158
2016-07-21,00:00:39,44.66319,44.8038,88.73912,AUTO,0.8,0.8,0,43.549126169870206
2016-07-21,00:00:40,44.67251,44.8038,88.73236,AUTO,0.8,0.8,0,43.65878936711914
2016-07-21,00:00:42,44.66319,44.8038,88.7402,AUTO,0.8,0.8,0,43.75637911744751
2016-07-21,00:00:43,44.65386,44.8038,88.74846,AUTO,0.8,0.8,0,43.843246250178225
2016-07-21,00:00:46,44.61653,44.8038,88.77969,AUTO,0.8,0.8,0,43.91785745829509
2016-07-21,00:00:48,44.63519,44.8038,88.76569,AUTO,0.8,0.8,0,43.98689222300277
2016-07-21,00:00:49,44.62587,44.8038,88.77362,AUTO,0.8,0.8,0,44.04825678842499
2016-07-21,00:00:51,44.67251,44.8038,88.73711,AUTO,0.8,0.8,0,44.10810388625401
2016-07-21,00:00:53,44.68184,44.8038,88.72997,AUTO,0.8,0.8,0,44.16303022888102
2016-07-21,00:00:55,44.69117,44.8038,88.72345,AUTO,0.8,0.8,0,44.21353294615343
2016-07-21,00:00:57,44.67251,44.8038,88.73903,AUTO,0.8,0.8,0,44.257380490937905
2016-07-21,00:01:01,44.68184,44.8038,88.73292,AUTO,0.8,0.8,0,44.29789901057682
2016-07-21,00:01:03,44.69117,44.8038,88.72606,AUTO,0.8,0.8,0,44.335416456511325
2016-07-21,00:01:05,44.7005,44.8038,88.71886,AUTO,0.8,0.8,0,44.37022674796688
2016-07-21,00:01:06,44.71917,44.8038,88.70439,AUTO,0.8,0.8,0,44.403483910504555
2016-07-21,00:01:08,44.72849,44.8038,88.69733,AUTO,0.8,0.8,0,44.43444886136377
