Date,Time,PV,SP,CO,Mode,P,I,D
2016-07-21,00:00:01,44.48039,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:02,44.48981,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:04,44.49924,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:05,44.56524,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:07,44.60294,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:09,44.65009,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:10,44.7915,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:11,44.81035,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:13,44.77264,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:16,44.71607,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:18,44.73493,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:19,44.65951,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:21,44.59352,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:22,44.64066,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:24,44.77264,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:25,44.83863,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:27,44.7915,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:28,44.75378,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:30,44.81035,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:32,44.84806,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:35,44.88577,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:37,44.97062,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:39,44.98004,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:40,44.87634,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:42,44.81035,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:43,44.8292,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:45,44.84806,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:46,44.83863,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:48,44.86691,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:51,44.7915,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:53,44.78207,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:54,44.7255,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:55,44.68779,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:57,44.67837,40,105,AUTO,1.5,1.5,0
2016-07-21,00:00:58,44.65951,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:00,44.58409,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:01,44.49924,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:03,44.39554,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:05,44.47096,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:06,44.53695,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:08,44.6218,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:10,44.64066,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:11,44.65951,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:13,44.71607,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:14,44.7915,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:16,44.8292,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:18,44.87634,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:21,44.90462,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:24,44.84806,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:26,44.86691,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:29,44.78207,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:31,44.85748,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:32,44.92348,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:34,44.96119,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:35,44.90462,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:37,44.88577,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:39,44.94233,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:41,45.03661,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:42,44.9989,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:44,44.94233,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:45,44.92348,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:47,44.81035,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:49,44.76321,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:52,44.90462,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:54,44.94233,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:55,44.98947,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:57,45.00833,40,105,AUTO,1.5,1.5,0
2016-07-21,00:01:59,44.98947,40,105,AUTO,1.5,1.5,0
2016-07-21,00:02:00,45.00833,40,105,AUTO,1.5,1.5,0
2016-07-21,00:02:02,45.04603,40,105,AUTO,1.5,1.5,0
2016-07-21,00:02:03,45.03661,40,105,AUTO,1.5,1.5,0
2016-07-21,00:02:05,44.9989,40,105,AUTO,1.5,1.5,0
2016-07-21,00:02:07,44.90462,40,105,AUTO,1.5,1.5,0
2016-07-21,00:02:08,44.84806,40,105,AUTO,1.5,1.5,0
2016-07-21,00:02:10,44.80092,40,105,AUTO,1.5,1.5,0
2016-07-21,00:02:11,44.81978,40,105,AUTO,1.5,1.5,0
2016-07-21,00:02:13,44.92348,40,105,AUTO,1.5,1.5,0
2016-07-21,00:02:15,44.91405,40,105,AUTO,1.5,1.5,0
2016-07-21,00:02:17,44.90462,40,105,AUTO,1.5,1.5,0
2016-07-21,00:02:18,44.96119,40,105,AUTO,1.5,1.5,0
2016-07-21,00:02:22,45.05546,40,105,AUTO,1.5,1.5,0
2016-07-21,00:02:23,45.08374,40,105,AUTO,1.5,1.5,0
2016-07-21,00:02:25,45.12146,40,105,AUTO,1.5,1.5,0
2016-07-21,00:02:26,45.16859,40,105,AUTO,1.5,1.5,0
2016-07-21,00:02:30,45.23458,40,105,AUTO,1.5,1.5,0
2016-07-21,00:02:32,45.16859,40,105,AUTO,1.5,1.5,0
2016-07-21,00:02:33,45.18744,40,105,AUTO,1.5,1.5,0
