Date,Time,PV,SP,CO,Mode,P,I,D
2016-07-21,00:00:01,44.48039,44.97263,39.36043,AUTO,1.5,1.5,0
2016-07-21,00:00:02,44.48981,44.97263,39.37058,AUTO,1.5,1.5,0
2016-07-21,00:00:04,44.49924,44.97263,39.38275,AUTO,1.5,1.5,0
2016-07-21,00:00:05,44.58409,44.97263,39.50647,AUTO,1.5,1.5,0
2016-07-21,00:00:07,44.60294,44.97263,39.53321,AUTO,1.5,1.5,0
2016-07-21,00:00:09,44.67837,44.97263,39.64362,AUTO,1.5,1.5,0
2016-07-21,00:00:10,44.80092,44.97263,39.82586,AUTO,1.5,1.5,0
2016-07-21,00:00:11,44.81978,44.97263,39.85351,AUTO,1.5,1.5,0
2016-07-21,00:00:13,44.78207,44.97263,39.79615,AUTO,1.5,1.5,0
2016-07-21,00:00:14,44.76321,44.97263,39.76616,AUTO,1.5,1.5,0
2016-07-21,00:00:16,44.7255,44.97263,39.70753,AUTO,1.5,1.5,0
2016-07-21,00:00:18,44.74435,44.97263,39.73486,AUTO,1.5,1.5,0
2016-07-21,00:00:19,44.65009,44.97263,39.59101,AUTO,1.5,1.5,0
2016-07-21,00:00:21,44.59352,44.97263,39.50457,AUTO,1.5,1.5,0
2016-07-21,00:00:22,44.65009,44.97263,39.58654,AUTO,1.5,1.5,0
2016-07-21,00:00:24,44.71607,44.97263,39.68446,AUTO,1.5,1.5,0
2016-07-21,00:00:25,44.85748,44.97263,39.89534,AUTO,1.5,1.5,0
2016-07-21,00:00:27,44.83863,44.97263,39.8665,AUTO,1.5,1.5,0
2016-07-21,00:00:28,44.75378,44.97263,39.73753,AUTO,1.5,1.5,0
2016-07-21,00:00:30,44.81978,44.97263,39.83512,AUTO,1.5,1.5,0
2016-07-21,00:00:34,44.84806,44.97263,39.87587,AUTO,1.5,1.5,0
2016-07-21,00:00:35,44.90462,44.97263,39.95992,AUTO,1.5,1.5,0
2016-07-21,00:00:37,44.94233,44.97263,40.01635,AUTO,1.5,1.5,0
2016-07-21,00:00:39,44.97062,44.97263,40.0588,AUTO,1.5,1.5,0
2016-07-21,00:00:40,44.91405,44.97263,39.97371,AUTO,1.5,1.5,0
2016-07-21,00:00:42,44.81035,44.97263,39.817,AUTO,1.5,1.5,0
2016-07-21,00:00:43,44.81978,44.97263,39.83051,AUTO,1.5,1.5,0
2016-07-21,00:00:45,44.84806,44.97263,39.87186,AUTO,1.5,1.5,0
2016-07-21,00:00:48,44.86691,44.97263,39.89822,AUTO,1.5,1.5,0
2016-07-21,00:00:49,44.85748,44.97263,39.88359,AUTO,1.5,1.5,0
2016-07-21,00:00:51,44.81035,44.97263,39.81221,AUTO,1.5,1.5,0
2016-07-21,00:00:53,44.77264,44.97263,39.75406,AUTO,1.5,1.5,0
2016-07-21,00:00:54,44.71607,44.97263,39.66723,AUTO,1.5,1.5,0
2016-07-21,00:00:55,44.67837,44.97263,39.60945,AUTO,1.5,1.5,0
2016-07-21,00:00:57,44.66894,44.97263,39.59404,AUTO,1.5,1.5,0
2016-07-21,00:00:58,44.65951,44.97263,39.57729,AUTO,1.5,1.5,0
2016-07-21,00:01:00,44.6218,44.97263,39.51927,AUTO,1.5,1.5,0
2016-07-21,00:01:01,44.48039,44.97263,39.3034,AUTO,1.5,1.5,0
2016-07-21,00:01:03,44.41439,44.97263,39.20208,AUTO,1.5,1.5,0
2016-07-21,00:01:05,44.43325,44.97263,39.22572,AUTO,1.5,1.5,0
2016-07-21,00:01:06,44.55581,44.97263,39.4058,AUTO,1.5,1.5,0
2016-07-21,00:01:08,44.60294,44.97263,39.47496,AUTO,1.5,1.5,0
2016-07-21,00:01:10,44.64066,44.97263,39.52872,AUTO,1.5,1.5,0
2016-07-21,00:01:11,44.67837,44.97263,39.58273,AUTO,1.5,1.5,0
2016-07-21,00:01:14,44.7915,44.97263,39.74945,AUTO,1.5,1.5,0
2016-07-21,00:01:16,44.84806,44.97263,39.83302,AUTO,1.5,1.5,0
2016-07-21,00:01:18,44.86691,44.97263,39.86086,AUTO,1.5,1.5,0
2016-07-21,00:01:20,44.87634,44.97263,39.87416,AUTO,1.5,1.5,0
2016-07-21,00:01:21,44.91405,44.97263,39.93008,AUTO,1.5,1.5,0
2016-07-21,00:01:24,44.84806,44.97263,39.82997,AUTO,1.5,1.5,0
2016-07-21,00:01:26,44.87634,44.97263,39.87199,AUTO,1.5,1.5,0
2016-07-21,00:01:27,44.86691,44.97263,39.85701,AUTO,1.5,1.5,0
2016-07-21,00:01:29,44.81978,44.97263,39.78567,AUTO,1.5,1.5,0
2016-07-21,00:01:31,44.80092,44.97263,39.75583,AUTO,1.5,1.5,0
2016-07-21,00:01:32,44.92348,44.97263,39.93903,AUTO,1.5,1.5,0
2016-07-21,00:01:34,44.96119,44.97263,39.99554,AUTO,1.5,1.5,0
2016-07-21,00:01:35,44.8952,44.97263,39.89611,AUTO,1.5,1.5,0
2016-07-21,00:01:37,44.88577,44.97263,39.8812,AUTO,1.5,1.5,0
2016-07-21,00:01:41,45.04603,44.97263,40.12149,AUTO,1.5,1.5,0
2016-07-21,00:01:42,44.98947,44.97263,40.03695,AUTO,1.5,1.5,0
2016-07-21,00:01:44,44.97062,44.97263,40.00866,AUTO,1.5,1.5,0
2016-07-21,00:01:45,44.92348,44.97263,39.93758,AUTO,1.5,1.5,0
2016-07-21,00:01:47,44.85748,44.97263,39.83811,AUTO,1.5,1.5,0
2016-07-21,00:01:49,44.76321,44.97263,39.69511,AUTO,1.5,1.5,0
2016-07-21,00:01:50,44.80092,44.97263,39.75012,AUTO,1.5,1.5,0
2016-07-21,00:01:52,44.84806,44.97263,39.82032,AUTO,1.5,1.5,0
2016-07-21,00:01:54,44.95176,44.97263,39.97557,AUTO,1.5,1.5,0
2016-07-21,00:01:55,44.98947,44.97263,40.03223,AUTO,1.5,1.5,0
2016-07-21,00:01:57,44.9989,44.97263,40.04649,AUTO,1.5,1.5,0
2016-07-21,00:01:59,44.98004,44.97263,40.01839,AUTO,1.5,1.5,0
2016-07-21,00:02:00,45.01775,44.97263,40.07524,AUTO,1.5,1.5,0
2016-07-21,00:02:02,45.04603,44.97263,40.11797,AUTO,1.5,1.5,0
2016-07-21,00:02:03,45.02718,44.97263,40.09023,AUTO,1.5,1.5,0
2016-07-21,00:02:05,44.9989,44.97263,40.04807,AUTO,1.5,1.5,0
2016-07-21,00:02:07,44.95176,44.97263,39.97727,AUTO,1.5,1.5,0
2016-07-21,00:02:08,44.83863,44.97263,39.80666,AUTO,1.5,1.5,0
2016-07-21,00:02:10,44.81035,44.97263,39.76356,AUTO,1.5,1.5,0
2016-07-21,00:02:11,44.83863,44.97263,39.80475,AUTO,1.5,1.5,0
2016-07-21,00:02:13,44.91405,44.97263,39.91763,AUTO,1.5,1.5,0
2016-07-21,00:02:15,44.92348,44.97263,39.93133,AUTO,1.5,1.5,0
2016-07-21,00:02:17,44.90462,44.97263,39.9026,AUTO,1.5,1.5,0
2016-07-21,00:02:18,44.98004,44.97263,40.01563,AUTO,1.5,1.5,0
2016-07-21,00:02:20,45.01775,44.97263,40.07238,AUTO,1.5,1.5,0
2016-07-21,00:02:22,45.04603,44.97263,40.11546,AUTO,1.5,1.5,0
2016-07-21,00:02:23,45.09317,44.97263,40.18702,AUTO,1.5,1.5,0
2016-07-21,00:02:25,45.12146,44.97263,40.23006,AUTO,1.5,1.5,0
2016-07-21,00:02:26,45.17802,44.97263,40.31646,AUTO,1.5,1.5,0
2016-07-21,00:02:30,45.22515,44.97263,40.39,AUTO,1.5,1.5,0
2016-07-21,00:02:32,45.16859,44.97263,40.30699,AUTO,1.5,1.5,0
2016-07-21,00:02:33,45.19687,44.97263,40.3512,AUTO,1.5,1.5,0
2016-07-21,00:02:36,45.06489,44.97263,40.15521,AUTO,1.5,1.5,0
2016-07-21,00:02:39,45.05546,44.97263,40.14225,AUTO,1.5,1.5,0
2016-07-21,00:02:41,45.04603,44.97263,40.12841,AUTO,1.5,1.5,0
2016-07-21,00:02:42,45.17802,44.97263,40.32791,AUTO,1.5,1.5,0
2016-07-21,00:02:44,45.12146,44.97263,40.24438,AUTO,1.5,1.5,0
2016-07-21,00:02:46,45.17802,44.97263,40.33075,AUTO,1.5,1.5,0
2016-07-21,00:02:48,45.24401,44.97263,40.43085,AUTO,1.5,1.5,0
2016-07-21,00:02:51,45.19687,44.97263,40.36452,AUTO,1.5,1.5,0
