Date,Time,PV,SP,CO,Mode,P,I,D,Filtered_PV_Kalman
2016-07-21,00:00:02,49.21296,49.00006,80.37209,AUTO,2.6,2.6,0,24.728900298507465
2016-07-21,00:00:04,49.20353,49.00006,80.34905,AUTO,2.6,2.6,0,33.02182357586922
2016-07-21,00:00:07,49.18467,49.00006,80.30215,AUTO,2.6,2.6,0,37.20187298707434
2016-07-21,00:00:09,49.20353,49.00006,80.35192,AUTO,2.6,2.6,0,39.74313305048338
2016-07-21,00:00:10,49.1941,49.00006,80.32877,AUTO,2.6,2.6,0,41.45845401650008
2016-07-21,00:00:11,49.18467,49.00006,80.30492,AUTO,2.6,2.6,0,42.70020818870103
2016-07-21,00:00:13,49.21296,49.00006,80.37991,AUTO,2.6,2.6,0,43.64992685881693
2016-07-21,00:00:14,49.20353,49.00006,80.35615,AUTO,2.6,2.6,0,44.39864550440868
2016-07-21,00:00:16,49.1941,49.00006,80.33306,AUTO,2.6,2.6,0,45.005259684330234
2016-07-21,00:00:21,49.20353,49.00006,80.36115,AUTO,2.6,2.6,0,45.50948807677046
2016-07-21,00:00:22,49.1941,49.00006,80.33733,AUTO,2.6,2.6,0,45.93368110040787
2016-07-21,00:00:24,49.18467,49.00006,80.31419,AUTO,2.6,2.6,0,46.29522458582165
2016-07-21,00:00:25,49.20353,49.00006,80.36396,AUTO,2.6,2.6,0,46.60963179323458
2016-07-21,00:00:27,49.18467,49.00006,80.31625,AUTO,2.6,2.6,0,46.88163552143802
2016-07-21,00:00:30,49.20353,49.00006,80.36732,AUTO,2.6,2.6,0,47.122291144368944
2016-07-21,00:00:32,49.1941,49.00006,80.34414,AUTO,2.6,2.6,0,47.33371670341405
2016-07-21,00:00:34,49.18467,49.00006,80.32029,AUTO,2.6,2.6,0,47.52021666346377
2016-07-21,00:00:43,49.20353,49.00006,80.37608,AUTO,2.6,2.6,0,47.68806756789407
2016-07-21,00:00:45,49.18467,49.00006,80.32771,AUTO,2.6,2.6,0,47.836032754534116
2016-07-21,00:00:46,49.17525,49.00006,80.30454,AUTO,2.6,2.6,0,47.96751564941565
2016-07-21,00:00:49,49.18467,49.00006,80.33103,AUTO,2.6,2.6,0,48.08633259697231
2016-07-21,00:00:51,49.17525,49.00006,80.30783,AUTO,2.6,2.6,0,48.192134180534524
2016-07-21,00:00:53,49.18467,49.00006,80.33299,AUTO,2.6,2.6,0,48.288201676172186
2016-07-21,00:00:54,49.1941,49.00006,80.35884,AUTO,2.6,2.6,0,48.375608360183605
2016-07-21,00:00:55,49.16582,49.00006,80.2859,AUTO,2.6,2.6,0,48.45165687527584
2016-07-21,00:00:57,49.18467,49.00006,80.33559,AUTO,2.6,2.6,0,48.52205217455974
