Date,Time,PV,SP,CO,Mode,P,I,D,Filtered_PV_Kalman
2016-07-21,00:00:02,-50.90043,-20.84667,48,AUTO,0,0,0,-25.576832985074628
2016-07-21,00:00:04,-51.56985,-20.84667,48,AUTO,0,0,0,-34.3842428818131
2016-07-21,00:00:05,-53.74787,-20.84667,48,AUTO,0,0,0,-39.392080982243826
2016-07-21,00:00:09,-55.00188,-20.84667,48,AUTO,0,0,0,-42.697337814608126
2016-07-21,00:00:10,-53.19158,-20.84667,48,AUTO,0,0,0,-44.60200997558529
2016-07-21,00:00:11,-53.99773,-20.84667,48,AUTO,0,0,0,-46.11208613266729
2016-07-21,00:00:13,-52.96529,-20.84667,48,AUTO,0,0,0,-47.11145104806673
2016-07-21,00:00:18,-53.28587,-20.84667,48,AUTO,0,0,0,-47.94386605459215
2016-07-21,00:00:19,-55.91646,-20.84667,48,AUTO,0,0,0,-48.95238121045222
2016-07-21,00:00:21,-55.14331,-20.84667,48,AUTO,0,0,0,-49.69593554034238
2016-07-21,00:00:24,-56.3266,-20.84667,48,AUTO,0,0,0,-50.45929452209425
2016-07-21,00:00:25,-56.32189,-20.84667,48,AUTO,0,0,0,-51.111275586354125
2016-07-21,00:00:28,-58.60362,-20.84667,48,AUTO,0,0,0,-51.92124797528762
2016-07-21,00:00:30,-56.60004,-20.84667,48,AUTO,0,0,0,-52.41547321469054
2016-07-21,00:00:32,-55.95417,-20.84667,48,AUTO,0,0,0,-52.782245816587476
2016-07-21,00:00:34,-54.92174,-20.84667,48,AUTO,0,0,0,-53.000578580525755
2016-07-21,00:00:35,-55.06317,-20.84667,48,AUTO,0,0,0,-53.20840295839654
2016-07-21,00:00:37,-52.94644,-20.84667,48,AUTO,0,0,0,-53.18228142858999
2016-07-21,00:00:40,-56.74146,-20.84667,48,AUTO,0,0,0,-53.53416814900837
2016-07-21,00:00:42,-58.83462,-20.84667,48,AUTO,0,0,0,-54.05456075588981
2016-07-21,00:00:43,-58.83933,-20.84667,48,AUTO,0,0,0,-54.521643403275675
2016-07-21,00:00:48,-54.94531,-20.84667,48,AUTO,0,0,0,-54.56280777140058
2016-07-21,00:00:49,-56.44446,-20.84667,48,AUTO,0,0,0,-54.7449328027772
2016-07-21,00:00:51,-58.84405,-20.84667,48,AUTO,0,0,0,-55.14044103163614
2016-07-21,00:00:54,-59.7492,-20.84667,48,AUTO,0,0,0,-55.58397951968411
2016-07-21,00:00:55,-59.70205,-20.84667,48,AUTO,0,0,0,-55.979460574737715
2016-07-21,00:00:57,-58.50462,-20.84667,48,AUTO,0,0,0,-56.221547375983384
2016-07-21,00:01:00,-55.80332,-20.84667,48,AUTO,0,0,0,-56.181508585328785
2016-07-21,00:01:01,-55.7656,-20.84667,48,AUTO,0,0,0,-56.141737837423314
2016-07-21,00:01:05,-53.36601,-20.84667,48,AUTO,0,0,0,-55.87656368625185
2016-07-21,00:01:06,-52.9983,-20.84667,48,AUTO,0,0,0,-55.60180724610266
2016-07-21,00:01:08,-57.79276,-20.84667,48,AUTO,0,0,0,-55.810820760193685
2016-07-21,00:01:10,-56.60004,-20.84667,48,AUTO,0,0,0,-55.886071897227865
2016-07-21,00:01:11,-57.15633,-20.84667,48,AUTO,0,0,0,-56.007137944335945
2016-07-21,00:01:14,-58.44333,-20.84667,48,AUTO,0,0,0,-56.23924611007633
2016-07-21,00:01:18,-58.74504,-20.84667,48,AUTO,0,0,0,-56.47791741056234
2016-07-21,00:01:20,-58.6319,-20.84667,48,AUTO,0,0,0,-56.68303149101532
2016-07-21,00:01:21,-59.10334,-20.84667,48,AUTO,0,0,0,-56.9134624615135
2016-07-21,00:01:23,-54.90288,-20.84667,48,AUTO,0,0,0,-56.722070402091425
2016-07-21,00:01:26,-50.12728,-20.84667,48,AUTO,0,0,0,-56.09437743027606
2016-07-21,00:01:27,-47.64283,-20.84667,48,AUTO,0,0,0,-55.290042651204736
2016-07-21,00:01:29,-47.94455,-20.84667,48,AUTO,0,0,0,-54.59103140721782
2016-07-21,00:01:32,-49.83498,-20.84667,48,AUTO,0,0,0,-54.13846828169328
2016-07-21,00:01:34,-54.86517,-20.84667,48,AUTO,0,0,0,-54.20761375440371
2016-07-21,00:01:35,-51.87629,-20.84667,48,AUTO,0,0,0,-53.985799408445295
2016-07-21,00:01:37,-48.62341,-20.84667,48,AUTO,0,0,0,-53.47561334820339
2016-07-21,00:01:41,-50.72599,-20.84667,48,AUTO,0,0,0,-53.214018197675045
2016-07-21,00:01:42,-54.7096,-20.84667,48,AUTO,0,0,0,-53.356301975928844
2016-07-21,00:01:44,-48.38769,-20.84667,48,AUTO,0,0,0,-52.88361778765952
2016-07-21,00:01:45,-46.95926,-20.84667,48,AUTO,0,0,0,-52.320019429046525
2016-07-21,00:01:47,-45.74297,-20.84667,48,AUTO,0,0,0,-51.69433785900591
2016-07-21,00:01:50,-42.81066,-20.84667,48,AUTO,0,0,0,-50.84923417428376
2016-07-21,00:01:52,-43.81481,-20.84667,48,AUTO,0,0,0,-50.180056257932044
2016-07-21,00:01:54,-46.86026,-20.84667,48,AUTO,0,0,0,-49.864249743694245
2016-07-21,00:01:55,-47.41184,-20.84667,48,AUTO,0,0,0,-49.6309577113872
2016-07-21,00:01:57,-51.70185,-20.84667,48,AUTO,0,0,0,-49.827955843609104
2016-07-21,00:02:00,-52.37129,-20.84667,48,AUTO,0,0,0,-50.06989499773091
2016-07-21,00:02:02,-50.86271,-20.84667,48,AUTO,0,0,0,-50.145312660266825
2016-07-21,00:02:03,-51.23986,-20.84667,48,AUTO,0,0,0,-50.2494327440118
2016-07-21,00:02:05,-52.84272,-20.84667,48,AUTO,0,0,0,-50.49612161754407
2016-07-21,00:02:07,-52.42315,-20.84667,48,AUTO,0,0,0,-50.67943163960441
2016-07-21,00:02:10,-53.01715,-20.84667,48,AUTO,0,0,0,-50.9018085030697
2016-07-21,00:02:11,-53.30473,-20.84667,48,AUTO,0,0,0,-51.1303875585123
2016-07-21,00:02:13,-59.54648,-20.84667,48,AUTO,0,0,0,-51.930971525378794
2016-07-21,00:02:18,-59.06562,-20.84667,48,AUTO,0,0,0,-52.60965706337542
2016-07-21,00:02:20,-60.33377,-20.84667,48,AUTO,0,0,0,-53.34441506044169
2016-07-21,00:02:22,-59.2589,-20.84667,48,AUTO,0,0,0,-53.9070314563773
2016-07-21,00:02:23,-57.75033,-20.84667,48,AUTO,0,0,0,-54.27262571660983
2016-07-21,00:02:25,-59.59834,-20.84667,48,AUTO,0,0,0,-54.77923476425151
2016-07-21,00:02:28,-57.78804,-20.84667,48,AUTO,0,0,0,-55.06544754015381
2016-07-21,00:02:30,-59.31076,-20.84667,48,AUTO,0,0,0,-55.469283033344745
2016-07-21,00:02:32,-60.04148,-20.84667,48,AUTO,0,0,0,-55.90421333341573
2016-07-21,00:02:33,-62.41279,-20.84667,48,AUTO,0,0,0,-56.523341670953045
2016-07-21,00:02:36,-63.36036,-20.84667,48,AUTO,0,0,0,-57.173712927465665
2016-07-21,00:02:38,-57.71261,-20.84667,48,AUTO,0,0,0,-57.22497549664048
2016-07-21,00:02:39,-57.08089,-20.84667,48,AUTO,0,0,0,-57.211269369060744
2016-07-21,00:02:41,-58.24533,-20.84667,48,AUTO,0,0,0,-57.30963434088369
2016-07-21,00:02:44,-57.14218,-20.84667,48,AUTO,0,0,0,-57.293705255133666
2016-07-21,00:02:48,-55.77974,-20.84667,48,AUTO,0,0,0,-57.149689394024605
2016-07-21,00:02:50,-54.8086,-20.84667,48,AUTO,0,0,0,-56.926993404601525
2016-07-21,00:02:51,-54.25701,-20.84667,48,AUTO,0,0,0,-56.67301140096255
2016-07-21,00:02:53,-50.56571,-20.84667,48,AUTO,0,0,0,-56.092054755677395
2016-07-21,00:02:56,-52.48915,-20.84667,48,AUTO,0,0,0,-55.74932868518132
2016-07-21,00:02:58,-50.92872,-20.84667,48,AUTO,0,0,0,-55.29076861989581
