Date,Time,PV,SP,CO,Mode,P,I,D
2016-07-21,00:00:01,0.5766026,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:00:04,0.5767549,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:00:05,0.5769069,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:00:09,0.5767549,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:00:13,0.5764504,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:00:14,0.5762983,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:00:19,0.5758418,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:00:21,0.5756896,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:00:24,0.5758418,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:00:25,0.5761461,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:00:27,0.5758418,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:00:28,0.5756896,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:00:30,0.575233,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:00:34,0.5750808,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:00:35,0.5753852,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:00:37,0.5750808,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:00:39,0.575233,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:00:40,0.5755374,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:00:45,0.5758418,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:00:48,0.5756896,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:00:51,0.5759938,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:00:53,0.5761461,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:00:54,0.5762983,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:00:55,0.5761461,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:00:57,0.5759938,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:00:58,0.5761461,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:00,0.5762983,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:01,0.5766026,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:03,0.5761461,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:05,0.5766026,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:06,0.5767549,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:08,0.5766026,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:10,0.5762983,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:11,0.5761461,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:14,0.5762983,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:18,0.5758418,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:20,0.5761461,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:23,0.5762983,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:24,0.5766026,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:26,0.5762983,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:27,0.5759938,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:29,0.5761461,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:31,0.5762983,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:32,0.5761461,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:35,0.5762983,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:37,0.5764504,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:39,0.5766026,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:41,0.5767549,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:42,0.5769069,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:44,0.5770591,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:45,0.5772113,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:47,0.5769069,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:52,0.5772113,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:54,0.5770591,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:55,0.5776679,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:57,0.5775157,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:01:59,0.5773636,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:02:00,0.5776679,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:02:02,0.5781244,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:02:03,0.5778201,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:02:05,0.5781244,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:02:07,0.5778201,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:02:08,0.5776679,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:02:10,0.5782766,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:02:11,0.5779722,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:02:13,0.5781244,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:02:15,0.5776679,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:02:22,0.5779722,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:02:23,0.5776679,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:02:25,0.5784287,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:02:26,0.5785809,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:02:28,0.5788853,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:02:30,0.5787331,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:02:32,0.5790374,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:02:35,0.5785809,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:02:36,0.5787331,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:02:38,0.5781244,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:02:39,0.5779722,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:02:42,0.5781244,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:02:44,0.5779722,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:02:48,0.5784287,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:02:50,0.5782766,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:02:51,0.5784287,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:02:53,0.5788853,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:02:56,0.5791897,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:02:59,0.5787331,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:03:01,0.5785809,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:03:03,0.5779722,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:03:05,0.5781244,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:03:06,0.5782766,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:03:08,0.5787331,0.6003425,-5,AUTO,2,2,0
2016-07-21,00:03:14,0.5788853,0.6003425,-5,AUTO,2,2,0
