Date,Time,PV,SP,CO,Mode,P,I,D
2016-07-21,00:00:01,146.1669,145,105,AUTO,0.5,0.5,0
2016-07-21,00:00:02,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:00:04,146.1669,145,105,AUTO,0.5,0.5,0
2016-07-21,00:00:06,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:00:07,146.1669,145,105,AUTO,0.5,0.5,0
2016-07-21,00:00:09,146.2141,145,105,AUTO,0.5,0.5,0
2016-07-21,00:00:15,146.1669,145,105,AUTO,0.5,0.5,0
2016-07-21,00:00:18,146.2141,145,105,AUTO,0.5,0.5,0
2016-07-21,00:00:36,146.1905,145,105,AUTO,0.5,0.5,0
2016-07-21,00:00:37,146.2141,145,105,AUTO,0.5,0.5,0
2016-07-21,00:00:39,146.1669,145,105,AUTO,0.5,0.5,0
2016-07-21,00:00:42,146.2141,145,105,AUTO,0.5,0.5,0
2016-07-21,00:00:45,146.1669,145,105,AUTO,0.5,0.5,0
2016-07-21,00:00:48,146.2141,145,105,AUTO,0.5,0.5,0
2016-07-21,00:00:51,146.1669,145,105,AUTO,0.5,0.5,0
2016-07-21,00:00:56,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:01:06,146.2141,145,105,AUTO,0.5,0.5,0
2016-07-21,00:01:10,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:01:15,146.1669,145,105,AUTO,0.5,0.5,0
2016-07-21,00:01:21,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:01:23,146.0961,145,105,AUTO,0.5,0.5,0
2016-07-21,00:01:24,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:01:28,146.1669,145,105,AUTO,0.5,0.5,0
2016-07-21,00:01:30,146.2141,145,105,AUTO,0.5,0.5,0
2016-07-21,00:01:34,146.1669,145,105,AUTO,0.5,0.5,0
2016-07-21,00:01:36,146.2141,145,105,AUTO,0.5,0.5,0
2016-07-21,00:01:38,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:01:39,146.1669,145,105,AUTO,0.5,0.5,0
2016-07-21,00:01:41,146.2141,145,105,AUTO,0.5,0.5,0
2016-07-21,00:01:42,146.1669,145,105,AUTO,0.5,0.5,0
2016-07-21,00:01:46,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:01:47,146.1669,145,105,AUTO,0.5,0.5,0
2016-07-21,00:01:49,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:01:51,146.1905,145,105,AUTO,0.5,0.5,0
2016-07-21,00:01:52,146.2141,145,105,AUTO,0.5,0.5,0
2016-07-21,00:01:56,146.1669,145,105,AUTO,0.5,0.5,0
2016-07-21,00:01:59,146.2141,145,105,AUTO,0.5,0.5,0
2016-07-21,00:02:00,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:02:02,146.2141,145,105,AUTO,0.5,0.5,0
2016-07-21,00:02:04,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:02:09,146.1905,145,105,AUTO,0.5,0.5,0
2016-07-21,00:02:10,146.2141,145,105,AUTO,0.5,0.5,0
2016-07-21,00:02:12,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:02:19,146.1669,145,105,AUTO,0.5,0.5,0
2016-07-21,00:02:20,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:02:23,146.2141,145,105,AUTO,0.5,0.5,0
2016-07-21,00:02:26,146.1669,145,105,AUTO,0.5,0.5,0
2016-07-21,00:02:28,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:02:36,146.1669,145,105,AUTO,0.5,0.5,0
2016-07-21,00:02:38,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:02:40,146.1669,145,105,AUTO,0.5,0.5,0
2016-07-21,00:02:41,146.2141,145,105,AUTO,0.5,0.5,0
2016-07-21,00:02:45,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:02:51,146.1669,145,105,AUTO,0.5,0.5,0
2016-07-21,00:02:53,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:02:57,146.1669,145,105,AUTO,0.5,0.5,0
2016-07-21,00:02:58,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:03:02,146.1669,145,105,AUTO,0.5,0.5,0
2016-07-21,00:03:03,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:03:07,146.1669,145,105,AUTO,0.5,0.5,0
2016-07-21,00:03:08,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:03:21,146.1197,145,105,AUTO,0.5,0.5,0
2016-07-21,00:03:23,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:03:28,146.1669,145,105,AUTO,0.5,0.5,0
2016-07-21,00:03:30,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:03:37,146.1197,145,105,AUTO,0.5,0.5,0
2016-07-21,00:03:38,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:03:45,146.0725,145,105,AUTO,0.5,0.5,0
2016-07-21,00:03:47,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:03:48,146.1669,145,105,AUTO,0.5,0.5,0
2016-07-21,00:03:50,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:03:53,146.1197,145,105,AUTO,0.5,0.5,0
2016-07-21,00:03:55,146.1669,145,105,AUTO,0.5,0.5,0
2016-07-21,00:03:58,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:04:02,146.1197,145,105,AUTO,0.5,0.5,0
2016-07-21,00:04:04,146.0961,145,105,AUTO,0.5,0.5,0
2016-07-21,00:04:05,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:04:07,146.1197,145,105,AUTO,0.5,0.5,0
2016-07-21,00:04:08,146.0961,145,105,AUTO,0.5,0.5,0
2016-07-21,00:04:10,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:04:15,146.0961,145,105,AUTO,0.5,0.5,0
2016-07-21,00:04:20,146.1669,145,105,AUTO,0.5,0.5,0
2016-07-21,00:04:22,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:04:23,146.0961,145,105,AUTO,0.5,0.5,0
2016-07-21,00:04:26,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:04:35,146.0725,145,105,AUTO,0.5,0.5,0
2016-07-21,00:04:36,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:04:39,146.0725,145,105,AUTO,0.5,0.5,0
2016-07-21,00:04:41,146.0961,145,105,AUTO,0.5,0.5,0
2016-07-21,00:04:43,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:04:44,146.0725,145,105,AUTO,0.5,0.5,0
2016-07-21,00:04:49,146.0961,145,105,AUTO,0.5,0.5,0
2016-07-21,00:04:53,146.0725,145,105,AUTO,0.5,0.5,0
2016-07-21,00:04:56,146.0961,145,105,AUTO,0.5,0.5,0
2016-07-21,00:05:01,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:05:03,146.0961,145,105,AUTO,0.5,0.5,0
2016-07-21,00:05:06,146.0725,145,105,AUTO,0.5,0.5,0
2016-07-21,00:05:08,146.0961,145,105,AUTO,0.5,0.5,0
2016-07-21,00:05:12,146.1433,145,105,AUTO,0.5,0.5,0
2016-07-21,00:05:14,146.0961,145,105,AUTO,0.5,0.5,0
2016-07-21,00:05:20,146.0489,145,105,AUTO,0.5,0.5,0
2016-07-21,00:05:22,146.0961,145,105,AUTO,0.5,0.5,0
2016-07-21,00:05:29,146.0725,145,105,AUTO,0.5,0.5,0
2016-07-21,00:05:31,146.0961,145,105,AUTO,0.5,0.5,0
2016-07-21,00:05:33,146.0725,145,105,AUTO,0.5,0.5,0
2016-07-21,00:05:36,146.0961,145,105,AUTO,0.5,0.5,0
2016-07-21,00:05:37,146.0489,145,105,AUTO,0.5,0.5,0
2016-07-21,00:05:39,146.0253,145,105,AUTO,0.5,0.5,0
2016-07-21,00:05:42,146.0725,145,105,AUTO,0.5,0.5,0
2016-07-21,00:05:43,146.0961,145,105,AUTO,0.5,0.5,0
2016-07-21,00:05:45,146.0725,145,105,AUTO,0.5,0.5,0
2016-07-21,00:05:49,146.0253,145,105,AUTO,0.5,0.5,0
2016-07-21,00:05:50,146.0725,145,105,AUTO,0.5,0.5,0
2016-07-21,00:05:51,146.0961,145,105,AUTO,0.5,0.5,0
2016-07-21,00:05:54,146.0253,145,105,AUTO,0.5,0.5,0
2016-07-21,00:05:55,146.0961,145,105,AUTO,0.5,0.5,0
2016-07-21,00:06:00,146.0725,145,105,AUTO,0.5,0.5,0
2016-07-21,00:06:03,146.0961,145,105,AUTO,0.5,0.5,0
2016-07-21,00:06:06,146.0253,145,105,AUTO,0.5,0.5,0
2016-07-21,00:06:08,146.0961,145,105,AUTO,0.5,0.5,0
2016-07-21,00:06:15,146.0725,145,105,AUTO,0.5,0.5,0
2016-07-21,00:06:21,146.0961,145,105,AUTO,0.5,0.5,0
2016-07-21,00:06:22,146.0725,145,105,AUTO,0.5,0.5,0
2016-07-21,00:06:24,146.0253,145,105,AUTO,0.5,0.5,0
2016-07-21,00:06:26,146.0725,145,105,AUTO,0.5,0.5,0
2016-07-21,00:06:27,146.0253,145,105,AUTO,0.5,0.5,0
2016-07-21,00:06:29,146.0961,145,105,AUTO,0.5,0.5,0
2016-07-21,00:06:30,146.0253,145,105,AUTO,0.5,0.5,0
2016-07-21,00:06:32,146.0725,145,105,AUTO,0.5,0.5,0
2016-07-21,00:06:34,146.0961,145,105,AUTO,0.5,0.5,0
2016-07-21,00:06:35,146.0489,145,105,AUTO,0.5,0.5,0
2016-07-21,00:06:37,146.0961,145,105,AUTO,0.5,0.5,0
2016-07-21,00:06:39,146.0253,145,105,AUTO,0.5,0.5,0
2016-07-21,00:06:44,146.0489,145,105,AUTO,0.5,0.5,0
2016-07-21,00:06:46,146.0253,145,105,AUTO,0.5,0.5,0
2016-07-21,00:06:57,146.0725,145,105,AUTO,0.5,0.5,0
2016-07-21,00:06:59,146.0961,145,105,AUTO,0.5,0.5,0
2016-07-21,00:07:00,146.0253,145,105,AUTO,0.5,0.5,0
2016-07-21,00:07:08,146.0017,145,105,AUTO,0.5,0.5,0
2016-07-21,00:07:10,146.0253,145,105,AUTO,0.5,0.5,0
2016-07-21,00:07:12,146.0961,145,105,AUTO,0.5,0.5,0
